query,total_exec_time,prop_exec_time,ncalls,sync_io_time
SELECT * FROM pgbouncer.get_auth($1),00:00:00.293419,0.8%,336,00:00:00
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",00:00:00.028089,0.1%,326,00:00:00
SET idle_session_timeout='58s',00:00:00.000488,0.0%,295,00:00:00
SET statement_timeout='58s',00:00:00.003937,0.0%,295,00:00:00
SET client_encoding = 'UTF8',00:00:00.003071,0.0%,217,00:00:00
SET client_min_messages TO WARNING,00:00:00.000498,0.0%,217,00:00:00
BEGIN ISOLATION LEVEL READ COMMITTED READ ONLY,00:00:00.001548,0.0%,200,00:00:00
COMMIT,00:00:00.000202,0.0%,179,00:00:00
SET idle_session_timeout='58s',00:00:00.000306,0.0%,149,00:00:00
SET statement_timeout='58s',00:00:00.002093,0.0%,149,00:00:00
