name,table,columns,size,percent_used,index_scans,seq_scans,unused
public.settings_pkey,public.settings,user_id,16 kB,100%,44,0,f
public.profiles_username_key,public.profiles,username,16 kB,100%,15,0,f
public.idx_ai_request_logs_user_action_created,public.ai_request_logs,"user_id,action,created_at",16 kB,100%,46,0,f
public.idx_jobs_user,public.jobs,user_id,16 kB,0%,0,0,t
public.idx_jobs_resume,public.jobs,resume_id,16 kB,100%,7,0,f
public.jobs_pkey,public.jobs,id,16 kB,100%,7,0,f
public.job_status_history_pkey,public.job_status_history,id,16 kB,0%,0,0,t
public.idx_jobs_user_date_applied,public.jobs,"user_id,date_applied",16 kB,100%,90,0,f
public.resumes_pkey,public.resumes,id,16 kB,100%,10,0,f
public.ai_request_logs_pkey,public.ai_request_logs,id,16 kB,100%,1,0,f
public.idx_resumes_user,public.resumes,user_id,16 kB,100%,52,0,f
public.privacy_settings_pkey,public.privacy_settings,user_id,16 kB,100%,54,0,f
public.profiles_pkey,public.profiles,id,16 kB,100%,135,0,f
public.idx_jobs_user_status,public.jobs,"user_id,status",16 kB,100%,10,0,f
public.idx_status_history_job,public.job_status_history,"job_id,changed_at",16 kB,100%,5,0,f
public.weekly_progress_pkey,public.weekly_progress,"user_id,week_start",16 kB,100%,24,0,f
public.friendships_user_id_a_user_id_b_key,public.friendships,"user_id_a,user_id_b",8192 bytes,0%,0,0,t
public.idx_certifications_user,public.certifications,user_id,8192 bytes,100%,35,0,f
public.friend_requests_pkey,public.friend_requests,id,8192 bytes,0%,0,0,t
public.idx_profile_activity_user,public.profile_activity,"user_id,created_at",8192 bytes,0%,0,0,t
public.idx_reactions_recipient,public.encouragement_reactions,"recipient_id,created_at",8192 bytes,100%,11,0,f
public.idx_group_join_links_group_id,public.group_join_links,group_id,8192 bytes,0%,0,0,t
public.idx_friend_requests_recipient,public.friend_requests,"recipient_id,status",8192 bytes,100%,11,0,f
public.idx_activity_recipient,public.activity_events,"recipient_id,created_at",8192 bytes,100%,125,0,f
public.group_members_pkey,public.group_members,id,8192 bytes,100%,2,0,f
public.friendships_pkey,public.friendships,id,8192 bytes,0%,0,0,t
public.goal_members_pkey,public.goal_members,id,8192 bytes,100%,1,0,f
public.idx_friend_requests_requester,public.friend_requests,"requester_id,status",8192 bytes,100%,11,0,f
public.idx_friendships_a,public.friendships,user_id_a,8192 bytes,100%,18,0,f
public.uq_friend_requests_pending,public.friend_requests,"requester_id,recipient_id",8192 bytes,100%,10,0,f
public.user_blocks_pkey,public.user_blocks,"blocker_id,blocked_id",8192 bytes,100%,27,0,f
public.certifications_pkey,public.certifications,id,8192 bytes,100%,1,0,f
public.group_join_links_token_key,public.group_join_links,token,8192 bytes,0%,0,0,t
public.idx_group_join_links_token,public.group_join_links,token,8192 bytes,0%,0,0,t
public.groups_pkey,public.groups,id,8192 bytes,0%,0,0,t
public.group_invites_group_id_invitee_id_key,public.group_invites,"group_id,invitee_id",8192 bytes,100%,15,0,f
public.idx_reactions_context,public.encouragement_reactions,"context_type,context_id",8192 bytes,0%,0,0,t
public.group_join_links_pkey,public.group_join_links,id,8192 bytes,0%,0,0,t
public.goals_pkey,public.goals,id,8192 bytes,0%,0,0,t
public.goal_members_goal_id_user_id_key,public.goal_members,"goal_id,user_id",8192 bytes,100%,11,0,f
public.activity_events_pkey,public.activity_events,id,8192 bytes,100%,1,0,f
public.profile_activity_pkey,public.profile_activity,id,8192 bytes,0%,0,0,t
public.group_members_group_id_user_id_key,public.group_members,"group_id,user_id",8192 bytes,100%,11,0,f
public.privacy_selected_friends_pkey,public.privacy_selected_friends,"owner_id,friend_id",8192 bytes,100%,26,0,f
public.encouragement_reactions_pkey,public.encouragement_reactions,id,8192 bytes,0%,0,0,t
public.idx_friendships_b,public.friendships,user_id_b,8192 bytes,100%,18,0,f
public.group_invites_pkey,public.group_invites,id,8192 bytes,100%,1,0,f
