total_exec_time,prop_exec_time,ncalls,sync_io_time,query
00:00:13.454111,76.5%,34,00:00:00,"SELECT
  e.name,
  n.nspname AS schema,
  e.default_version,
  x.extversion AS installed_version,
  e.comment,
  ev.schema AS default_version_schema
FROM
  pg_available_extensions e
  LEFT JOIN pg_extension x ON e.name = x.extname
  LEFT JOIN pg_namespace n ON x.extnamespace = n.oid
  LEFT JOIN pg_available_extension_versions ev
    ON ev.name = e.name AND ev.version = e.default_version"
00:00:01.153569,6.6%,8,00:00:00,"with f as (
      
-- CTE with sane arg_modes, arg_names, and arg_types.
-- All three are always of the same length.
-- All three include all args, including OUT and TABLE args.
with functions as (
  select
    *,
    -- proargmodes is null when all arg modes are IN
    coalesce(
      p.proargmodes,
      array_fill($1::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_modes,
    -- proargnames is null when all args are unnamed
    coalesce(
      p.proargnames,
      array_fill($2::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_names,
    -- proallargtypes is null when all arg modes are IN
    coalesce(p.proallargtypes, p.proargtypes) as arg_types,
    array_cat(
      array_fill($3, array[pronargs - pronargdefaults]),
      array_fill($4, array[pronargdefaults])) as arg_has_defaults
  from
    pg_proc as p
  where
    p.prokind in ($5, $6)
)
select
  f.oid as id,
  n.nspname as schema,
  f.proname as name,
  l.lanname as language,
  case f.prokind
    when $7 then $8
    when $9 then $10
    when $11 then $12
    when $13 then $14
    else $15
  end as type,
  case
    when l.lanname = $16 then $17
    else f.prosrc
  end as definition,
  case
    when l.lanname = $18 then f.prosrc
    else pg_get_functiondef(f.oid)
  end as complete_statement,
  coalesce(f_args.args, $19) as args,
  pg_get_function_arguments(f.oid) as argument_types,
  pg_get_function_identity_arguments(f.oid) as identity_argument_types,
  f.prorettype as return_type_id,
  pg_get_function_result(f.oid) as return_type,
  nullif(rt.typrelid, $20) as return_type_relation_id,
  f.proretset as is_set_returning_function,
  case
    when f.provolatile = $21 then $22
    when f.provolatile = $23 then $24
    when f.provolatile = $25 then $26
  end as behavior,
  f.prosecdef as security_definer,
  f_config.config_params as config_params
from
  functions f
  left join pg_namespace n on f.pronamespace = n.oid
  left join pg_language l on f.prolang = l.oid
  left join pg_type rt on rt.oid = f.prorettype
  left join (
    select
      oid,
      jsonb_object_agg(param, value) filter (where param is not null) as config_params
    from
      (
        select
          oid,
          (string_to_array(unnest(proconfig), $27))[$28] as param,
          (string_to_array(unnest(proconfig), $29))[$30] as value
        from
          functions
      ) as t
    group by
      oid
  ) f_config on f_config.oid = f.oid
  left join (
    select
      oid,
      jsonb_agg(jsonb_build_object(
        $31, t2.mode,
        $32, name,
        $33, type_id,
        -- Cast null into false boolean
        $34, COALESCE(has_default, $35)
      )) as args
    from
      (
        select
          oid,
          unnest(arg_modes) as mode,
          unnest(arg_names) as name,
          -- Coming from: coalesce(p.proallargtypes, p.proargtypes) postgres won't automatically assume
          -- integer, we need to cast it to be properly parsed
          unnest(arg_types)::int8 as type_id,
          unnest(arg_has_defaults) as has_default
        from
          functions
      ) as t1,
      lateral (
        select
          case
            when t1.mode = $36 then $37
            when t1.mode = $38 then $39
            when t1.mode = $40 then $41
            when t1.mode = $42 then $43
            else $44
          end as mode
      ) as t2
    group by
      t1.oid
  ) f_args on f_args.oid = f.oid

    )
    select
      f.*
    from f
   where schema NOT IN ($45,$46,$47)

-- source: dashboard
-- user: session:636c5b73-6ee3-4590-acba-33dca30fb9fb
-- date: 2026-08-05T06:43:26.614Z"
00:00:00.483163,2.7%,3,00:00:00,"with page as (
      select
        c.oid,
        c.relname,
        c.relrowsecurity,
        c.relforcerowsecurity,
        c.relreplident,
        nc.nspname as schema,
        -- Computed once here so the final select can reference it for both the
        -- raw byte count and pg_size_pretty without re-walking heap+toast+indexes.
        pg_total_relation_size(c.oid) as bytes_raw
      from pg_namespace nc
      join pg_class c on nc.oid = c.relnamespace
      where c.relkind in ($1, $2)
        and not pg_is_other_temp_schema(nc.oid)
        and c.oid > $3
        and (
          pg_has_role(c.relowner, $4)
          or has_table_privilege(
            c.oid,
            $5
          )
          or has_any_column_privilege(c.oid, $6)
        )
        and nc.nspname IN ($7)
        
      order by c.oid
      limit $8
    ),
    page_primary_keys as (
      select
        c.oid::int8 as table_id,
        jsonb_agg(
          jsonb_build_object(
            $9, c.oid::int8,
            $10, n.nspname,
            $11, c.relname,
            $12, a.attname
          )
          order by array_position(i.indkey, a.attnum)
        ) as primary_keys
      from pg_index i
      join pg_class c on i.indrelid = c.oid
      join pg_namespace n on c.relnamespace = n.oid
      join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
      where i.indisprimary
        and c.oid in (select oid from page)
      group by c.oid
    ),
    -- Two-armed UNION ALL keyed by table_id so the downstream join is a plain
    -- equi-join (see tables CTE below). The previous shape used an OR across
    -- (source_oid, target_oid), which planners can't decompose into two index
    -- probes. The target-side arm skips self-referential FKs so they aren't
    -- emitted twice.
    page_relationships as (
      select
        csa.oid::int8 as table_id,
        c.oid::int8 as id,
        c.conname as constraint_name,
        nsa.nspname as source_schema,
        csa.relname as source_table_name,
        sa.attname as source_column_name,
        nta.nspname as target_table_schema,
        cta.relname as target_table_name,
        ta.attname as target_column_name
      from pg_constraint c
      join pg_class csa on csa.oid = c.conrelid
      join pg_namespace nsa on nsa.oid = csa.relnamespace
      -- Pair conkey/confkey by ordinal so composite FKs don't fan out into a
      -- cross-product of (source_col, target_col) rows.
      join lateral unnest(c.conkey, c.confkey) as fk(src_attnum, tgt_attnum) on $13
      join pg_attribute sa on sa.attrelid = c.conrelid and sa.attnum = fk.src_attnum
      join pg_class cta on cta.oid = c.confrelid
      join pg_namespace nta on nta.oid = cta.relnamespace
      join pg_attribute ta on ta.attrelid = c.confrelid and ta.attnum = fk.tgt_attnum
      where c.contype = $14
        and csa.oid in (select oid from page)
      union all
      select
        cta.oid::int8 as table_id,
        c.oid::int8 as id,
        c.conname as constraint_name,
        nsa.nspname as source_schema,
        csa.relname as source_table_name,
        sa.attname as source_column_name,
        nta.nspname as target_table_schema,
        cta.relname as target_table_name,
        ta.attname as target_column_name
      from pg_constraint c
      join pg_class csa on csa.oid = c.conrelid
      join pg_namespace nsa on nsa.oid = csa.relnamespace
      join lateral unnest(c.conkey, c.confkey) as fk(src_attnum, tgt_attnum) on $15
      join pg_attribute sa on sa.attrelid = c.conrelid and sa.attnum = fk.src_attnum
      join pg_class cta on cta.oid = c.confrelid
      join pg_namespace nta on nta.oid = cta.relnamespace
      join pg_attribute ta on ta.attrelid = c.confrelid and ta.attnum = fk.tgt_attnum
      where c.contype = $16
        and cta.oid in (select oid from page)
        and cta.oid <> csa.oid
    ),
    tables as (
      select
        p.oid::int8 as id,
        p.schema as schema,
        p.relname as name,
        p.relrowsecurity as rls_enabled,
        p.relforcerowsecurity as rls_forced,
        case
          when p.relreplident = $17 then $18
          when p.relreplident = $19 then $20
          when p.relreplident = $21 then $22
          else $23
        end as replica_identity,
        p.bytes_raw::int8 as bytes,
        pg_size_pretty(p.bytes_raw) as size,
        pg_stat_get_live_tuples(p.oid) as live_rows_estimate,
        pg_stat_get_dead_tuples(p.oid) as dead_rows_estimate,
        obj_description(p.oid) as comment,
        coalesce(pk.primary_keys, $24::jsonb) as primary_keys,
        coalesce(
          jsonb_agg(
            jsonb_build_object(
              $25, r.id,
              $26, r.constraint_name,
              $27, r.source_schema,
              $28, r.source_table_name,
              $29, r.source_column_name,
              $30, r.target_table_schema,
              $31, r.target_table_name,
              $32, r.target_column_name
            )
          ) filter (where r.id is not null),
          $33::jsonb
        ) as relationships
      from page p
      left join page_primary_keys pk on pk.table_id = p.oid
      left join page_relationships r on r.table_id = p.oid
      group by
        p.oid,
        p.schema,
        p.relname,
        p.relrowsecurity,
        p.relforcerowsecurity,
        p.relreplident,
        p.bytes_raw,
        pk.primary_keys
    ), columns as (
-- Adapted from information_schema.columns

SELECT
  c.oid :: int8 AS table_id,
  nc.nspname AS schema,
  c.relname AS table,
  (c.oid || $34 || a.attnum) AS id,
  a.attnum AS ordinal_position,
  a.attname AS name,
  CASE
    WHEN a.atthasdef THEN pg_get_expr(ad.adbin, ad.adrelid)
    ELSE $35
  END AS default_value,
  CASE
    WHEN t.typtype = $36 THEN CASE
      WHEN bt.typelem <> $37 :: oid
      AND bt.typlen = $38 THEN $39
      WHEN nbt.nspname = $40 THEN format_type(t.typbasetype, $41)
      ELSE $42
    END
    ELSE CASE
      WHEN t.typelem <> $43 :: oid
      AND t.typlen = $44 THEN $45
      WHEN nt.nspname = $46 THEN format_type(a.atttypid, $47)
      ELSE $48
    END
  END AS data_type,
  COALESCE(bt.typname, t.typname) AS format,
  COALESCE(nbt.nspname, nt.nspname) AS format_schema,
  a.attidentity IN ($49, $50) AS is_identity,
  CASE
    a.attidentity
    WHEN $51 THEN $52
    WHEN $53 THEN $54
    ELSE $55
  END AS identity_generation,
  a.attgenerated IN ($56) AS is_generated,
  NOT (
    a.attnotnull
    OR t.typtype = $57 AND t.typnotnull
  ) AS is_nullable,
  (
    c.relkind IN ($58, $59)
    OR c.relkind IN ($60, $61) AND pg_column_is_updatable(c.oid, a.attnum, $62)
  ) AS is_updatable,
  uniques.table_id IS NOT NULL AS is_unique,
  check_constraints.definition AS ""check"",
  array_to_json(
    array(
      SELECT
        enumlabel
      FROM
        pg_catalog.pg_enum enums
      WHERE
        enums.enumtypid = coalesce(bt.oid, t.oid)
        OR enums.enumtypid = coalesce(bt.typelem, t.typelem)
      ORDER BY
        enums.enumsortorder
    )
  ) AS enums,
  col_description(c.oid, a.attnum) AS comment
FROM
  pg_attribute a
  LEFT JOIN pg_attrdef ad ON a.attrelid = ad.adrelid
  AND a.attnum = ad.adnum
  JOIN (
    pg_class c
    JOIN pg_namespace nc ON c.relnamespace = nc.oid
  ) ON a.attrelid = c.oid
  JOIN (
    pg_type t
    JOIN pg_namespace nt ON t.typnamespace = nt.oid
  ) ON a.atttypid = t.oid
  LEFT JOIN (
    pg_type bt
    JOIN pg_namespace nbt ON bt.typnamespace = nbt.oid
  ) ON t.typtype = $63
  AND t.typbasetype = bt.oid
  LEFT JOIN (
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$64] AS ordinal_position
    FROM pg_catalog.pg_constraint
    WHERE contype = $65 AND cardinality(conkey) = $66
  ) AS uniques ON uniques.table_id = c.oid AND uniques.ordinal_position = a.attnum
  LEFT JOIN (
    -- We only select the first column check
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$67] AS ordinal_position,
      substring(
        pg_get_constraintdef(pg_constraint.oid, $68),
        $69,
        length(pg_get_constraintdef(pg_constraint.oid, $70)) - $71
      ) AS ""definition""
    FROM pg_constraint
    WHERE contype = $72 AND cardinality(conkey) = $73
    ORDER BY table_id, ordinal_position, oid asc
  ) AS check_constraints ON check_constraints.table_id = c.oid AND check_constraints.ordinal_position = a.attnum
WHERE
  NOT pg_is_other_temp_schema(nc.oid)
  AND a.attnum > $74
  AND NOT a.attisdropped
  AND (c.relkind IN ($75, $76, $77, $78, $79))
  AND (
    pg_has_role(c.relowner, $80)
    OR has_column_privilege(
      c.oid,
      a.attnum,
      $81
    )
  )
  AND c.oid in (select oid from page)
)
    select tables.*, 
COALESCE(
  (
    SELECT
      array_agg(row_to_json(columns)) FILTER (WHERE columns.table_id = tables.id)
    FROM
      columns
  ),
  $82
) AS columns
    from tables
    order by tables.id
  

-- source: dashboard
-- user: session:636c5b73-6ee3-4590-acba-33dca30fb9fb
-- date: 2026-08-05T06:54:43.450Z"
00:00:00.183039,1.0%,8,00:00:00,"SELECT
    tbl.schemaname,
    tbl.tablename,
    tbl.quoted_name,
    tbl.is_table,
    json_agg(a) as columns
  FROM
    (
      SELECT
        n.nspname as schemaname,
        c.relname as tablename,
        (quote_ident(n.nspname) || $1 || quote_ident(c.relname)) as quoted_name,
        $2 as is_table
      FROM
        pg_catalog.pg_class c
        JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
      WHERE
        c.relkind = $3
        AND n.nspname not in ($4, $5, $6)
        AND n.nspname not like $7
        AND n.nspname not like $8
        AND has_schema_privilege(n.oid, $9) = $10
        AND has_table_privilege(quote_ident(n.nspname) || $11 || quote_ident(c.relname), $12) = $13
      union all
      SELECT
        n.nspname as schemaname,
        c.relname as tablename,
        (quote_ident(n.nspname) || $14 || quote_ident(c.relname)) as quoted_name,
        $15 as is_table
      FROM
        pg_catalog.pg_class c
        JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
      WHERE
        c.relkind in ($16, $17)
        AND n.nspname not in ($18, $19, $20)
        AND n.nspname not like $21
        AND n.nspname not like $22
        AND has_schema_privilege(n.oid, $23) = $24
        AND has_table_privilege(quote_ident(n.nspname) || $25 || quote_ident(c.relname), $26) = $27
    ) as tbl
    LEFT JOIN (
      SELECT
        attrelid,
        attname,
        format_type(atttypid, atttypmod) as data_type,
        attnum,
        attisdropped
      FROM
        pg_attribute
    ) as a ON (
      a.attrelid = tbl.quoted_name::regclass
      AND a.attnum > $28
      AND NOT a.attisdropped
      AND has_column_privilege(tbl.quoted_name, a.attname, $29)
    )
  
  GROUP BY schemaname, tablename, quoted_name, is_table"
00:00:00.158439,0.9%,4,00:00:00,"with tables as (
SELECT
  c.oid :: int8 AS id,
  nc.nspname AS schema,
  c.relname AS name,
  c.relrowsecurity AS rls_enabled,
  c.relforcerowsecurity AS rls_forced,
  CASE
    WHEN c.relreplident = $1 THEN $2
    WHEN c.relreplident = $3 THEN $4
    WHEN c.relreplident = $5 THEN $6
    ELSE $7
  END AS replica_identity,
  pg_total_relation_size(format($8, nc.nspname, c.relname)) :: int8 AS bytes,
  pg_size_pretty(
    pg_total_relation_size(format($9, nc.nspname, c.relname))
  ) AS size,
  pg_stat_get_live_tuples(c.oid) AS live_rows_estimate,
  pg_stat_get_dead_tuples(c.oid) AS dead_rows_estimate,
  obj_description(c.oid) AS comment,
  coalesce(pk.primary_keys, $10) as primary_keys,
  coalesce(
    jsonb_agg(relationships) filter (where relationships is not null),
    $11
  ) as relationships
FROM
  pg_namespace nc
  JOIN pg_class c ON nc.oid = c.relnamespace
  left join (
    select
      c.oid::int8 as table_id,
      jsonb_agg(
        jsonb_build_object(
          $12, c.oid::int8,
          $13, n.nspname,
          $14, c.relname,
          $15, a.attname
        )
        order by array_position(i.indkey, a.attnum)
      ) as primary_keys
    from
      pg_index i
      join pg_class c on i.indrelid = c.oid
      join pg_namespace n on c.relnamespace = n.oid
      join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
    where
      i.indisprimary
    group by c.oid
  ) as pk
  on pk.table_id = c.oid
  left join (
    select
      c.oid :: int8 as id,
      c.conname as constraint_name,
      nsa.nspname as source_schema,
      csa.relname as source_table_name,
      sa.attname as source_column_name,
      nta.nspname as target_table_schema,
      cta.relname as target_table_name,
      ta.attname as target_column_name
    from
      pg_constraint c
    join (
      pg_attribute sa
      join pg_class csa on sa.attrelid = csa.oid
      join pg_namespace nsa on csa.relnamespace = nsa.oid
    ) on sa.attrelid = c.conrelid and sa.attnum = any (c.conkey)
    join (
      pg_attribute ta
      join pg_class cta on ta.attrelid = cta.oid
      join pg_namespace nta on cta.relnamespace = nta.oid
    ) on ta.attrelid = c.confrelid and ta.attnum = any (c.confkey)
    where
      c.contype = $16
  ) as relationships
  on (relationships.source_schema = nc.nspname and relationships.source_table_name = c.relname)
  or (relationships.target_table_schema = nc.nspname and relationships.target_table_name = c.relname)
WHERE
  c.relkind IN ($17, $18)
  AND NOT pg_is_other_temp_schema(nc.oid)
  AND (
    pg_has_role(c.relowner, $19)
    OR has_table_privilege(
      c.oid,
      $20
    )
    OR has_any_column_privilege(c.oid, $21)
  )
group by
  c.oid,
  c.relname,
  c.relrowsecurity,
  c.relforcerowsecurity,
  c.relreplident,
  nc.nspname,
  pk.primary_keys
)
  
  select
    *
    
  from tables where schema IN ($22)

-- source: dashboard
-- user: session:636c5b73-6ee3-4590-acba-33dca30fb9fb
-- date: 2026-08-05T07:43:07.132Z"
00:00:00.135109,0.8%,4,00:00:00,delete from auth.users where id = $1
00:00:00.123162,0.7%,18,00:00:00,"do $$
    declare
      migrations text;
    begin
      if pg_catalog.to_regclass('supabase_migrations.schema_migrations') is not null then
        select coalesce(
          pg_catalog.jsonb_agg(pg_catalog.to_jsonb(sm) order by sm.version desc),
          '[]'::pg_catalog.jsonb
        )::text
        into migrations
        from supabase_migrations.schema_migrations sm;
      else
        migrations := '[]';
      end if;
      perform pg_catalog.set_config('supabase.studio_migrations', migrations, true);
    end $$"
00:00:00.122719,0.7%,24,00:00:00,"CREATE OR REPLACE FUNCTION pg_temp.count_estimate(
    query text
) RETURNS integer LANGUAGE plpgsql AS $$
DECLARE
    plan jsonb;
BEGIN
    EXECUTE 'EXPLAIN (FORMAT JSON)' || query INTO plan;
    RETURN plan->0->'Plan'->'Plan Rows';
END;
$$"
00:00:00.117064,0.7%,34,00:00:00,"-- Adapted from information_schema.schemata

select
  n.oid as id,
  n.nspname as name,
  u.rolname as owner,
   obj_description(n.oid, $1) AS comment
from
  pg_namespace n,
  pg_roles u
where
  n.nspowner = u.oid
  and (
    pg_has_role(n.nspowner, $2)
    or has_schema_privilege(n.oid, $3)
  )
  and not pg_catalog.starts_with(n.nspname, $4)
  and not pg_catalog.starts_with(n.nspname, $5)
 and not (n.nspname in ($6,$7,$8))

-- source: dashboard
-- user: session:636c5b73-6ee3-4590-acba-33dca30fb9fb
-- date: 2026-08-05T02:05:18.661Z"
00:00:00.082927,0.5%,8,00:00:00,"-- FROZEN legacy path (pgMetaScopedIntrospection off): do not edit -- it must
    -- keep matching production behavior until the flag cleanup deletes it.
    with base_table_info as (
        select
            c.oid::int8 as id,
            nc.nspname as schema,
            c.relname as name,
            c.relkind,
            c.relrowsecurity as rls_enabled,
            c.relforcerowsecurity as rls_forced,
            c.relreplident,
            c.relowner,
            obj_description(c.oid) as comment,
            fs.srvname as foreign_server_name,
            fdw.fdwname as foreign_data_wrapper_name,
            fdw_handler.proname as foreign_data_wrapper_handler
        from pg_class c
        join pg_namespace nc on nc.oid = c.relnamespace
        left join pg_foreign_table ft on ft.ftrelid = c.oid
        left join pg_foreign_server fs on fs.oid = ft.ftserver
        left join pg_foreign_data_wrapper fdw on fdw.oid = fs.srvfdw
        left join pg_proc fdw_handler on fdw.fdwhandler = fdw_handler.oid
        where c.oid = $1
            and not pg_is_other_temp_schema(nc.oid)
            and (
                pg_has_role(c.relowner, $2)
                or has_table_privilege(
                    c.oid,
                    $3
                )
                or has_any_column_privilege(c.oid, $4)
            )
    ),
    table_stats as (
        select
            b.id,
            case
                when b.relreplident = $5 then $6
                when b.relreplident = $7 then $8
                when b.relreplident = $9 then $10
                else $11
            end as replica_identity,
            pg_total_relation_size(format($12, b.schema, b.name))::int8 as bytes,
            pg_size_pretty(pg_total_relation_size(format($13, b.schema, b.name))) as size,
            pg_stat_get_live_tuples(b.id) as live_rows_estimate,
            pg_stat_get_dead_tuples(b.id) as dead_rows_estimate
        from base_table_info b
        where b.relkind in ($14, $15)
    ),
    primary_keys as (
        select
            i.indrelid as table_id,
            jsonb_agg(
                jsonb_build_object(
                    $16, n.nspname,
                    $17, c.relname,
                    $18, i.indrelid::int8,
                    $19, a.attname
                )
                order by array_position(i.indkey, a.attnum)
            ) as primary_keys
        from pg_index i
        join pg_class c on i.indrelid = c.oid
        join pg_namespace n on c.relnamespace = n.oid
		join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
        where i.indisprimary
        group by i.indrelid
    ),
    index_cols as (
        select
            i.indrelid as table_id,
            i.indkey,
            array_agg(
                a.attname
                order by array_position(i.indkey, a.attnum)
            ) as columns
        from pg_index i
        join pg_class c on i.indrelid = c.oid
        join pg_attribute a on a.attrelid = c.oid
            and a.attnum = any(i.indkey)
        where i.indisunique
            and i.indisprimary = $20
        group by i.indrelid, i.indkey
    ),
    unique_indexes as (
        select
            ic.table_id,
            jsonb_agg(
                jsonb_build_object(
                    $21, n.nspname,
                    $22, c.relname,
                    $23, ic.table_id::int8,
                    $24, ic.columns
                )
            ) as unique_indexes
        from index_cols ic
        join pg_class c on c.oid = ic.table_id
        join pg_namespace n on n.oid = c.relnamespace
        group by ic.table_id
    ),
    relationships as (
        select
            c.conrelid as source_id,
            c.confrelid as target_id,
            jsonb_build_object(
                $25, c.oid::int8,
                $26, c.conname,
                $27, c.confdeltype,
                $28, c.confupdtype,
                $29, nsa.nspname,
                $30, csa.relname,
                $31, sa.attname,
                $32, nta.nspname,
                $33, cta.relname,
                $34, ta.attname
            ) as rel_info
        from pg_constraint c
        join pg_class csa on c.conrelid = csa.oid
        join pg_namespace nsa on csa.relnamespace = nsa.oid
        join pg_attribute sa on (sa.attrelid = c.conrelid and sa.attnum = any(c.conkey))
        join pg_class cta on c.confrelid = cta.oid
        join pg_namespace nta on cta.relnamespace = nta.oid
        join pg_attribute ta on (ta.attrelid = c.confrelid and ta.attnum = any(c.confkey))
        where c.contype = $35
    ),
    columns as (
        select
            a.attrelid as table_id,
            jsonb_agg(jsonb_build_object(
                $36, (a.attrelid || $37 || a.attnum),
                $38, c.oid::int8,
                $39, nc.nspname,
                $40, c.relname,
                $41, a.attnum,
                $42, a.attname,
                $43, case
                    when a.atthasdef then pg_get_expr(ad.adbin, ad.adrelid)
                    else $44
                end,
                $45, case
                    when t.typtype = $46 then
                        case
                            when bt.typelem <> $47::oid and bt.typlen = $48 then $49
                            when nbt.nspname = $50 then format_type(t.typbasetype, $51)
                            else $52
                        end
                    else
                        case
                            when t.typelem <> $53::oid and t.typlen = $54 then $55
                            when nt.nspname = $56 then format_type(a.atttypid, $57)
                            else $58
                        end
                end,
                $59, coalesce(bt.typname, t.typname),
                $60, coalesce(nbt.nspname, nt.nspname),
                $61, a.attidentity in ($62, $63),
                $64, case a.attidentity
                    when $65 then $66
                    when $67 then $68
                    else $69
                end,
                $70, a.attgenerated in ($71),
                $72, not (a.attnotnull or t.typtype = $73 and t.typnotnull),
                $74, (
                    b.relkind in ($75, $76) or
                    (b.relkind in ($77, $78) and pg_column_is_updatable(b.id, a.attnum, $79))
                ),
                $80, uniques.table_id is not null,
                $81, check_constraints.definition,
                $82, col_description(c.oid, a.attnum),
                $83, coalesce(
                    (
                        select jsonb_agg(e.enumlabel order by e.enumsortorder)
                        from pg_catalog.pg_enum e
                        where e.enumtypid = coalesce(bt.oid, t.oid)
                            or e.enumtypid = coalesce(bt.typelem, t.typelem)
                    ),
                    $84::jsonb
                )
            ) order by a.attnum) as columns
        from pg_attribute a
        join base_table_info b on a.attrelid = b.id
        join pg_class c on a.attrelid = c.oid
        join pg_namespace nc on c.relnamespace = nc.oid
        left join pg_attrdef ad on (a.attrelid = ad.adrelid and a.attnum = ad.adnum)
        join pg_type t on a.atttypid = t.oid
        join pg_namespace nt on t.typnamespace = nt.oid
        left join pg_type bt on (t.typtype = $85 and t.typbasetype = bt.oid)
        left join pg_namespace nbt on bt.typnamespace = nbt.oid
        left join (
            select
                conrelid as table_id,
                conkey[$86] as ordinal_position
            from pg_catalog.pg_constraint
            where contype = $87 and cardinality(conkey) = $88
            group by conrelid, conkey[1]
        ) as uniques on uniques.table_id = a.attrelid and uniques.ordinal_position = a.attnum
        left join (
            select distinct on (conrelid, conkey[1])
                conrelid as table_id,
                conkey[$89] as ordinal_position,
                substring(
                    pg_get_constraintdef(oid, $90),
                    $91,
                    length(pg_get_constraintdef(oid, $92)) - $93
                ) as definition
            from pg_constraint
            where contype = $94 and cardinality(conkey) = $95
            order by conrelid, conkey[1], oid asc
        ) as check_constraints on check_constraints.table_id = a.attrelid
                            and check_constraints.ordinal_position = a.attnum
        where a.attnum > $96
        and not a.attisdropped
        group by a.attrelid
    )
    select
        case b.relkind
            when $97 then jsonb_build_object(
                $98, b.relkind,
                $99, b.id,
                $100, b.schema,
                $101, b.name,
                $102, b.rls_enabled,
                $103, b.rls_forced,
                $104, ts.replica_identity,
                $105, ts.bytes,
                $106, ts.size,
                $107, ts.live_rows_estimate,
                $108, ts.dead_rows_estimate,
                $109, b.comment,
                $110, coalesce(pk.primary_keys, $111::jsonb),
                $112, coalesce(ui.unique_indexes, $113::jsonb),
                $114, coalesce(
                    (select jsonb_agg(r.rel_info)
                    from relationships r
                    where r.source_id = b.id or r.target_id = b.id),
                    $115::jsonb
                ),
                $116, coalesce(c.columns, $117::jsonb)
            )
            when $118 then jsonb_build_object(
                $119, b.relkind,
                $120, b.id,
                $121, b.schema,
                $122, b.name,
                $123, b.rls_enabled,
                $124, b.rls_forced,
                $125, ts.replica_identity,
                $126, ts.bytes,
                $127, ts.size,
                $128, ts.live_rows_estimate,
                $129, ts.dead_rows_estimate,
                $130, b.comment,
                $131, coalesce(pk.primary_keys, $132::jsonb),
                $133, coalesce(ui.unique_indexes, $134::jsonb),
                $135, coalesce(
                    (select jsonb_agg(r.rel_info)
                    from relationships r
                    where r.source_id = b.id or r.target_id = b.id),
                    $136::jsonb
                ),
                $137, coalesce(c.columns, $138::jsonb)
            )
            when $139 then jsonb_build_object(
                $140, b.relkind,
                $141, b.id,
                $142, b.schema,
                $143, b.name,
                $144, (pg_relation_is_updatable(b.id, $145) & $146) = $147,
                $148, b.comment,
                $149, coalesce(c.columns, $150::jsonb)
            )
            when $151 then jsonb_build_object(
                $152, b.relkind,
                $153, b.id,
                $154, b.schema,
                $155, b.name,
                $156, $157,
                $158, b.comment,
                $159, coalesce(c.columns, $160::jsonb)
            )
            when $161 then jsonb_build_object(
                $162, b.relkind,
                $163, b.id,
                $164, b.schema,
                $165, b.name,
                $166, b.comment,
                $167, b.foreign_server_name,
                $168, b.foreign_data_wrapper_name,
                $169, b.foreign_data_wrapper_handler,
                $170, coalesce(c.columns, $171::jsonb)
            )
        end as entity
    from base_table_info b
    left join table_stats ts on b.id = ts.id
    left join primary_keys pk on b.id = pk.table_id
    left join unique_indexes ui on b.id = ui.table_id
    left join columns c on b.id = c.table_id"
