name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.jobs,32 kB,80 kB,112 kB,0,15
public.resumes,64 kB,32 kB,96 kB,0,3
public.profiles,16 kB,32 kB,48 kB,1,8
public.ai_request_logs,16 kB,32 kB,48 kB,1,2
public.job_status_history,8192 bytes,32 kB,40 kB,0,13
public.group_join_links,8192 bytes,32 kB,40 kB,0,10
public.friendships,0 bytes,32 kB,32 kB,0,4
public.settings,16 kB,16 kB,32 kB,1,3
public.friend_requests,0 bytes,32 kB,32 kB,0,4
public.profile_activity,8192 bytes,16 kB,24 kB,0,2
public.certifications,8192 bytes,16 kB,24 kB,0,2
public.privacy_settings,8192 bytes,16 kB,24 kB,1,3
public.weekly_progress,8192 bytes,16 kB,24 kB,0,4
public.group_members,8192 bytes,16 kB,24 kB,0,2
public.encouragement_reactions,0 bytes,24 kB,24 kB,0,14
public.activity_events,8192 bytes,16 kB,24 kB,0,13
public.group_invites,0 bytes,16 kB,16 kB,0,13
public.goals,8192 bytes,8192 bytes,16 kB,0,18
public.goal_members,0 bytes,16 kB,16 kB,0,2
public.groups,8192 bytes,8192 bytes,16 kB,0,16
public.user_blocks,0 bytes,8192 bytes,8192 bytes,0,1
public.privacy_selected_friends,0 bytes,8192 bytes,8192 bytes,0,1
